id,question,answer,category,source
0,O que significa Medicare IME?,"De acordo com o site dos Centros de Serviços Medicare e Medicaid, cms.gov, IME significa Educação Médica Indireta e se refere a ajustes de cálculo de pagamento para alta do Medicare de pacientes de custo mais alto que recebem cuidados de hospitais universitários em relação a hospitais não docentes. Eu recomendaria entrar em contato com o CMS para obter mais informações sobre o IME",geral,insurance_qa_v2
1,O seguro de cuidados de longo prazo é isento de impostos?,"Como regra, se você comprar uma apólice de seguro de cuidados de longo prazo qualificada para impostos -LRB- como quase todos fazem hoje em dia -RRB-, e se você mesmo estiver pagando o prêmio, receberá vantagens fiscais. Se você trabalha por conta própria, todo o prêmio é dedutível do imposto. Se estiver trabalhando em algum lugar, mas pagando seu próprio prêmio por uma apólice individual ou de grupo, você poderá deduzir o prêmio como despesa médica de acordo com as mesmas regras do IRS aplicáveis ​​a todas as despesas médicas. Em ambas as situações, você também recebe os benefícios da apólice isentos de impostos, caso sejam necessários.",geral,insurance_qa_v2
2,O marido pode retirar a esposa do seguro saúde?,"Um cônjuge pode retirar outro cônjuge do seguro saúde? Geralmente não sem o consentimento por escrito do cônjuge que está sendo dispensado. A maioria dos empregadores que possuem um departamento de RH de qualidade exigirá um teste em papel para quaisquer alterações no plano de benefícios do funcionário. Quando são tentadas mudanças que possam voltar a assombrar o empregador, geralmente são tomadas medidas para confirmar algo assim.",geral,insurance_qa_v2
3,O Medicare é administrado pelo governo?,O Medicare Parte A e Parte B é fornecido pelo governo federal para americanos com 65 anos ou mais que trabalharam e pagaram impostos da Previdência Social ao sistema. O Medicare também está disponível para pessoas com menos de 65 anos que tenham certas deficiências e pessoas com doença renal em estágio terminal -LRB- ESRD -RRB-.,geral,insurance_qa_v2
4,O que significa divisão de limites no seguro automóvel?,limites de divisão referem-se à parte de responsabilidade de sua apólice de seguro automóvel. a cobertura de responsabilidade civil pode ser feita de duas maneiras: limite dividido ou limite único combinado. exemplo de limite dividido: 100/300/100 se você foi o culpado em um acidente: - o primeiro número é o valor total em 1000 que sua empresa pagará por acidente a uma pessoa ferida que você atropelou. é o máximo que uma pessoa pagará pelos seus ferimentos. - o segundo número aparece quando você fere várias pessoas. é o máximo que a apólice pagará por acidente total para várias pessoas feridas. - o terceiro número refere-se ao máximo em 1000 que sua apólice pagará pela propriedade que você danificou.,geral,insurance_qa_v2
5,Onde comprar seguro de vida inteira?,"O seguro de vida inteira é melhor adquirido de um agente local que pode conversar com você, analisar sua situação individual e recomendar um plano que atenda às suas necessidades pessoais. Embora você possa adquirir seguro pelo correio ou on-line, isso não é necessariamente do seu interesse. Um bom agente pode fornecer conselhos, conselhos e serviços que podem ser inestimáveis. Como as taxas de seguro são registradas no estado, você não obtém desconto ao adquirir o mesmo plano pela Internet em comparação com a compra de um agente.",geral,insurance_qa_v2
6,Quanto o seguro do locatário deve ser adquirido?,"O passo mais importante é encontrar um agente de seguros que irá ouvi-lo, fornecer conselhos financeiros sólidos e comunicar-se claramente com você e com a companhia de seguros. As fotos são inestimáveis, então fotografe tudo o que você possui. Em um pedaço de papel liste os itens das fotos e quanto custaria para substituí-los. Isso define o limite de sua propriedade pessoal. Em seguida, selecione o seguro de responsabilidade civil que a empresa oferece. Uma ação judicial pode arruinar você financeiramente.",geral,insurance_qa_v2
7,Quanto tempo leva para obter o dinheiro do seguro de vida?,"Em Ohio, após o recebimento de uma prova por escrito da perda, a seguradora deve pagar os sinistros por morte imediatamente -LRB- a maioria dos estados interpreta que isso ocorre dentro de 30 dias. -RRB- Verifique a lei do seu estado para verificar. Se não houver beneficiário nomeado na apólice, o produto da morte será pago ao patrimônio do segurado. Uma seguradora não pode atrasar o pagamento de uma indenização por morte até que a liquidação do patrimônio do segurado seja concluída.",geral,insurance_qa_v2
8,Dave Ramsey recomenda seguro de invalidez de longo prazo?,"Dave acredita em uma abordagem metódica para se livrar das dívidas, investindo no mercado e no uso mínimo de seguros, e é por isso que ele é um promotor do seguro de vida versus seguro de vida permanente. Se você seguir seu discípulo, deverá ser capaz de se auto-segurar, o maior uso de seu dinheiro por Dave. Mas ele também aludiu ao facto de poder haver circunstâncias em que o seguro de cuidados de longa duração possa ser uma proposta de valor.",geral,insurance_qa_v2
9,O seguro residencial cobre vazamentos no banheiro?,"Na maioria das vezes, quando há uma ruptura repentina em um tubo, o dano pode ser interrompido rapidamente e geralmente há pouco ou nenhum dano. Os danos causados ​​por um repentino rompimento de um cano em seu banheiro seriam cobertos pela maioria das apólices residenciais. Um vazamento lento que danifique a propriedade pode não ser coberto. A apólice do proprietário não foi projetada para cobrir itens de manutenção de rotina na casa.",geral,insurance_qa_v2
